260 ,FR_HipY_Drive_Temp (C),FR_HipY_Drive_Temp (C)
261 ,FR_Knee_Drive_Temp (C),FR_Knee_Drive_Temp (C)
262 ,HL_HipX_Drive_Temp (C),HL_HipX_Drive_Temp (C)
263 ,HL_HipY_Drive_Temp (C),HL_HipY_Drive_Temp (C)
264 ,HL_Knee_Drive_Temp (C),HL_Knee_Drive_Temp (C)
265 ,HR_HipX_Drive_Temp (C),HR_HipX_Drive_Temp (C)
266 ,HR_HipY_Drive_Temp (C),HR_HipY_Drive_Temp (C)
267 ,HR_Knee_Drive_Temp (C),HR_Knee_Drive_Temp (C)
268 ,Motor_Temp_Time (s),Motor_Temp_Time (s)
269 ,FL_HipX_Motor_Temp (C),FL_HipX_Motor_Temp (C)
270 ,FL_HipY_Motor_Temp (C),FL_HipY_Motor_Temp (C)
271 ,FL_Knee_Motor_Temp (C),FL_Knee_Motor_Temp (C)
272 ,FR_HipX_Motor_Temp (C),FR_HipX_Motor_Temp (C)
273 ,FR_HipY_Motor_Temp (C),FR_HipY_Motor_Temp (C)
274 ,FR_Knee_Motor_Temp (C),FR_Knee_Motor_Temp (C)
275 ,HL_HipX_Motor_Temp (C),HL_HipX_Motor_Temp (C)
276 ,HL_HipY_Motor_Temp (C),HL_HipY_Motor_Temp (C)
277 ,HL_Knee_Motor_Temp (C),HL_Knee_Motor_Temp (C)
278 ,HR_HipX_Motor_Temp (C),HR_HipX_Motor_Temp (C)
279 ,HR_HipY_Motor_Temp (C),HR_HipY_Motor_Temp (C)
280 ,HR_Knee_Motor_Temp (C),HR_Knee_Motor_Temp (C)
281 ,Reserved_Motor_Temp (C),Reserved_Motor_Temp (C)
282 ,Reserved_Motor_Temp (C),Reserved_Motor_Temp (C)
283 ,Reserved_Motor_Temp (C),Reserved_Motor_Temp (C)
284 ,Reserved_Motor_Temp (C),Reserved_Motor_Temp (C)
